VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
150,75,Sunitha Shetty,13,f,0
151,75,Syed Hegde,16,m,0
152,75,Arjun Rao,48,m,0
153,76,Lakshmi Shetty,11,f,0
154,76,Pushpa Sharma,10,f,0
155,77,Lokesh Kumar,38,m,0
156,77,Manjunath Khan,45,m,0
157,78,Mohan Nair,65,m,0
158,78,Chandana Sharma,40,f,0
159,79,Syed Sharma,35,m,0
160,79,Mohan Nair,65,m,0
161,80,Rashmi Kumar,65,f,0
162,80,Deepa Sharma,67,f,0
163,81,Suma Patil,35,f,1
164,82,Savitha Kumar,13,f,0
165,82,Lakshmi Rao,66,f,0
166,83,Meena Kumar,72,f,0
167,83,Basavaraj Gowda,68,m,0
168,84,Pushpa Gowda,74,f,0
169,85,Meena Kumar,62,f,0
170,85,Priya Shetty,43,f,0
171,86,Suresh Sharma,6,m,0
172,86,Lakshmi Gowda,48,f,0
173,87,Savitha Naik,34,f,0
174,88,Mahesh Sharma,28,m,0
175,88,Vijay Nair,47,m,0
176,89,Rekha Khan,13,f,0
177,90,Arun Sharma,65,m,0
178,90,Rashmi Hegde,45,f,1
179,91,Imran Rao,35,m,0
180,91,Ravi Hegde,46,m,0
181,91,Meena Nair,28,f,0
182,92,Imran Singh,49,m,0
183,93,Anitha Singh,73,f,0
184,93,Vijay Shetty,57,m,0
185,94,Santhosh Nair,52,m,0
186,94,Lakshmi Singh,5,f,0
187,94,Farhan Khan,26,m,0
188,95,Pushpa Khan,36,f,0
189,95,Rajesh Sharma,50,m,0
190,95,Meena Kumar,43,f,0
191,96,Rashmi Sharma,22,f,0
192,96,Vijay Singh,7,m,0
193,96,Lakshmi Rao,61,f,0
194,97,Manjunath Kumar,64,m,0
195,98,Venkatesh Kumar,67,m,0
196,98,Mohan Reddy,42,m,0
197,99,Priya Nayak,15,f,0
198,100,Suma Gowda,46,f,0
199,101,Syed Sharma,68,m,0
200,102,Rekha Sharma,70,f,0
201,103,Rekha Shetty,68,f,0
202,103,Savitha Sharma,31,f,0
203,104,Deepa Kumar,52,f,0
204,104,Kiran Kumar,40,m,0
205,105,Meena Hegde,57,f,0
206,105,Farhan Rao,25,m,0
207,105,Pushpa Gowda,30,f,0
208,106,Prakash Hegde,39,m,0
209,107,Priya Patil,74,f,0
210,107,Arun Kumar,53,m,0
211,108,Kavitha Khan,42,f,0
212,109,Kiran Patil,10,m,0
213,110,Ganesh Sharma,72,m,0
214,110,Usha Hegde,20,f,0
215,111,Rekha Kumar,19,f,0
216,111,Meena Singh,49,f,0
217,112,Pushpa Shetty,71,f,0
218,113,Suma Singh,48,f,0
219,113,Vijay Nair,46,m,0
220,114,Prakash Kumar,69,m,0
221,114,Nagaraj Nair,35,m,0
222,115,Pushpa Patil,35,f,0
223,115,Meena Nair,25,f,0
224,116,Ravi Kumar,67,m,0
225,116,Prakash Hegde,14,m,0
226,116,Ravi Naik,56,m,0
227,117,Lokesh Nair,53,m,0
228,117,Nandini Hegde,46,f,0
229,118,Basavaraj Patil,66,m,0
230,119,Rekha Singh,63,f,0
231,119,Rajesh Hegde,27,m,0
232,119,Chandana Kumar,55,f,0
233,120,Farhan Khan,43,m,0
234,120,Syed Shetty,75,m,1
235,121,Kavitha Sharma,74,f,0
236,122,Nandini Hegde,74,f,0
237,122,Kavitha Naik,24,f,0
238,122,Lokesh Rao,6,m,0
239,123,Rashmi Patil,53,f,0
240,123,Savitha Gowda,30,f,0
241,124,Santhosh Rao,22,m,0
242,125,Anitha Nayak,10,f,0
243,125,Anitha Khan,20,f,0
244,125,Kiran Patil,18,m,0
245,126,Sunitha Patil,40,f,0
246,126,Sunitha Patil,55,f,0
247,127,Sunitha Shetty,58,f,0
248,127,Rekha Sharma,31,f,0
249,128,Santhosh Nayak,21,m,1
250,128,Syed Naik,39,m,0
251,128,Nagaraj Nair,32,m,0
252,129,Pushpa Shetty,41,f,0
253,129,Nagaraj Nayak,44,m,0
254,129,Syed Naik,73,m,0
255,130,Farhan Nayak,32,m,0
256,130,Chandana Rao,73,f,0
257,131,Meena Singh,10,f,0
258,131,Arjun Singh,63,m,0
259,131,Imran Khan,55,m,0
260,132,Nandini Hegde,26,f,0
261,132,Suresh Sharma,48,m,0
262,133,Arun Hegde,16,m,1
263,133,Mahesh Shetty,73,m,0
264,134,Vijay Khan,29,m,0
265,135,Rajesh Kumar,42,m,0
266,136,Prakash Nair,12,m,0
267,136,Kavitha Kumar,18,f,0
268,137,Deepa Reddy,56,f,0
269,138,Ganesh Nair,59,m,0
270,138,Lakshmi Shetty,14,f,0
271,139,Arun Kumar,27,m,0
272,140,Suma Kumar,29,f,0
273,141,Lokesh Gowda,31,m,0
274,141,Rashmi Kumar,22,f,0
275,142,Suresh Kumar,6,m,0
276,142,Nagaraj Singh,72,m,0
277,143,Mahesh Kumar,48,m,0
278,144,Manjunath Kumar,35,m,0
279,145,Priya Reddy,55,f,0
280,146,Rekha Hegde,64,f,1
281,147,Pushpa Kumar,31,f,0
282,148,Mohan Singh,22,m,0
283,148,Meena Kumar,16,f,0
284,148,Usha Nair,51,f,0
285,149,Nagaraj Hegde,14,m,0
286,149,Ravi Patil,31,m,0
287,150,Suresh Rao,53,m,0
288,150,Vijay Rao,35,m,0
289,151,Rashmi Kumar,73,f,0
290,152,Farhan Reddy,73,m,0
291,152,Ganesh Hegde,16,m,0
292,153,Basavaraj Kumar,32,m,0
293,154,Kiran Hegde,67,m,0
294,154,Venkatesh Kumar,32,m,0
295,154,Venkatesh Kumar,26,m,0
296,155,Rashmi Nair,35,f,0
297,156,Farhan Kumar,67,m,0
298,156,Kavitha Kumar,5,f,0
299,157,Suresh Gowda,20,m,0
300,158,Deepa Kumar,49,f,0
301,158,Kavitha Shetty,55,f,0
302,158,Suma Gowda,24,f,0
303,159,Usha Rao,61,f,0
304,159,Suresh Kumar,28,m,0
305,160,Mahesh Singh,61,m,0
306,161,Basavaraj Sharma,12,m,1
307,161,Lakshmi Kumar,9,f,0
308,162,Deepa Kumar,15,f,0
309,162,Nandini Nair,33,f,0
310,163,Syed Singh,5,m,0
311,164,Lokesh Shetty,73,m,0
312,165,Nagaraj Reddy,10,m,0
313,165,Mohan Hegde,39,m,0
314,166,Rajesh Nayak,8,m,0
315,166,Lakshmi Khan,15,f,0
316,167,Arjun Rao,14,m,0
317,168,Syed Sharma,23,m,0
318,169,Meena Gowda,57,f,0
319,170,Lakshmi Kumar,5,f,0
320,170,Basavaraj Hegde,41,m,0
321,171,Rashmi Kumar,7,f,0
322,171,Ganesh Khan,36,m,0
323,171,Kiran Nair,16,m,0
324,172,Mahesh Rao,37,m,0
325,172,Mohan Naik,22,m,0
326,172,Arun Nayak,35,m,0
327,173,Vijay Gowda,38,m,0
328,173,Rashmi Naik,60,f,0
329,173,Pushpa Kumar,37,f,0
330,174,Prakash Sharma,32,m,0
331,174,Mahesh Naik,5,m,0
332,175,Arjun Singh,47,m,0
333,175,Suma Reddy,20,f,0
334,176,Sunitha Sharma,74,f,0
335,177,Suresh Patil,36,m,0
336,178,Arjun Shetty,11,m,0
337,179,Nandini Nair,5,f,0
338,180,Farhan Reddy,48,m,0
339,180,Ganesh Kumar,44,m,0
340,180,Deepa Hegde,58,f,0
341,181,Lokesh Shetty,51,m,0
342,182,Savitha Nair,67,f,1
343,183,Vijay Nayak,47,m,0
344,184,Lokesh Nayak,63,m,0
345,185,Arjun Rao,32,m,0
346,186,Sunitha Reddy,29,f,0
347,186,Usha Sharma,11,f,0
348,186,Lokesh Reddy,74,m,0
349,187,Mahesh Kumar,50,m,0
350,187,Vijay Naik,32,m,0
351,187,Manjunath Sharma,32,m,0
352,188,Rajesh Khan,18,m,0
353,188,Kavitha Khan,61,f,0
354,188,Basavaraj Shetty,45,m,0
355,189,Suresh Shetty,22,m,0
356,189,Prakash Hegde,28,m,0
357,190,Priya Nair,17,f,0
358,190,Rajesh Sharma,49,m,0
359,190,Basavaraj Nair,40,m,0
360,191,Imran Sharma,19,m,0
361,192,Arjun Nayak,27,m,0
362,193,Arjun Hegde,27,m,0
363,193,Arjun Nair,43,m,0
364,194,Suma Khan,28,f,0
365,195,Rajesh Singh,11,m,0
366,195,Santhosh Nair,60,m,0
367,195,Pushpa Shetty,14,f,0
368,196,Santhosh Sharma,48,m,1
369,196,Basavaraj Gowda,58,m,0
370,196,Ravi Rao,6,m,0
371,197,Ganesh Reddy,67,m,0
372,197,Lakshmi Kumar,46,f,0
373,197,Meena Hegde,64,f,0
374,198,Santhosh Nair,24,m,0
375,199,Rashmi Naik,64,f,0
376,199,Imran Sharma,25,m,0
377,200,Prakash Naik,22,m,0
378,200,Venkatesh Rao,60,m,0
379,201,Rekha Khan,58,f,0
380,201,Manjunath Nair,66,m,0
381,202,Priya Patil,72,f,0
382,202,Ravi Rao,42,m,0
383,202,Pushpa Nayak,18,f,0
384,203,Syed Gowda,54,m,0
385,203,Sunitha Shetty,23,f,0
386,203,Basavaraj Kumar,71,m,0
387,204,Sunitha Shetty,32,f,0
388,205,Kiran Gowda,72,m,0
389,205,Lakshmi Reddy,34,f,0
390,206,Lokesh Nair,16,m,0
391,206,Usha Rao,56,f,0
392,206,Rashmi Kumar,15,f,0
393,207,Usha Khan,74,f,0
394,207,Santhosh Reddy,21,m,0
395,207,Chandana Kumar,75,f,0
396,208,Venkatesh Rao,53,m,0
397,208,Rajesh Khan,66,m,0
398,208,Savitha Kumar,6,f,0
399,209,Deepa Nair,10,f,0
400,209,Arun Nair,37,m,0
401,209,Pushpa Nair,35,f,0
402,210,Prakash Nair,31,m,0
403,211,Manjunath Nayak,48,m,0
404,211,Syed Gowda,24,m,0
405,212,Suma Rao,51,f,0
406,212,Ganesh Patil,49,m,0
407,213,Rekha Nayak,17,f,0
408,214,Venkatesh Gowda,37,m,0
409,214,Santhosh Reddy,34,m,0
410,215,Syed Nayak,35,m,0
411,215,Venkatesh Naik,47,m,0
412,216,Kavitha Naik,23,f,0
413,216,Farhan Hegde,55,m,0
414,216,Nagaraj Kumar,45,m,1
415,217,Rashmi Sharma,5,f,0
416,217,Sunitha Naik,51,f,0
417,217,Imran Singh,14,m,0
418,218,Basavaraj Kumar,75,m,0
419,218,Arjun Rao,62,m,0
420,218,Arun Gowda,55,m,0
421,219,Arun Rao,61,m,0
422,219,Imran Kumar,42,m,0
423,219,Nagaraj Kumar,60,m,0
424,220,Meena Shetty,65,f,0
425,220,Ganesh Rao,20,m,0
426,220,Chandana Reddy,7,f,0
427,221,Imran Sharma,27,m,0
428,221,Lakshmi Nayak,40,f,0
429,221,Vijay Hegde,62,m,0
430,222,Arjun Singh,29,m,0
431,223,Rajesh Kumar,53,m,0
432,224,Ravi Kumar,31,m,0
433,224,Farhan Singh,16,m,0
434,225,Priya Kumar,27,f,0
435,225,Imran Singh,13,m,0
436,225,Meena Nayak,41,f,0
437,226,Nagaraj Rao,32,m,0
438,226,Usha Sharma,31,f,0
439,226,Suma Kumar,45,f,0
440,227,Suma Patil,32,f,0
441,227,Arun Kumar,59,m,0
442,228,Imran Reddy,58,m,0
443,228,Farhan Naik,33,m,0
444,228,Usha Shetty,10,f,0
445,229,Prakash Khan,22,m,0
446,230,Suresh Khan,9,m,0
447,230,Chandana Nayak,22,f,0
448,230,Nandini Sharma,68,f,0
449,231,Rekha Rao,40,f,0
450,232,Santhosh Singh,51,m,0
451,232,Anitha Gowda,75,f,0
452,233,Anitha Kumar,40,f,0
453,233,Rashmi Sharma,75,f,0
454,233,Rashmi Shetty,74,f,0
455,234,Suma Kumar,35,f,0
456,234,Mohan Hegde,74,m,0
457,234,Mohan Singh,22,m,0
458,235,Rekha Singh,68,f,0
459,235,Lokesh Gowda,39,m,0
460,236,Usha Patil,45,f,0
461,236,Venkatesh Khan,67,m,0
462,237,Anitha Kumar,32,f,0
463,237,Farhan Kumar,5,m,0
464,238,Venkatesh Naik,50,m,0
465,239,Manjunath Rao,47,m,0
466,240,Imran Patil,72,m,0
467,240,Nandini Singh,21,f,0
468,240,Mohan Naik,25,m,0
469,241,Chandana Kumar,16,f,0
470,242,Suma Patil,25,f,0
471,242,Lokesh Shetty,10,m,0
472,243,Rashmi Hegde,63,f,0
473,243,Arjun Khan,49,m,0
474,243,Chandana Kumar,62,f,0
475,244,Manjunath Khan,27,m,0
476,244,Meena Naik,67,f,0
477,245,Suma Reddy,5,f,0
478,245,Nandini Nair,13,f,0
479,245,Basavaraj Nair,9,m,0
480,246,Santhosh Sharma,25,m,0
481,247,Arjun Nayak,31,m,0
482,247,Rajesh Naik,64,m,0
483,248,Manjunath Kumar,42,m,0
484,248,Imran Gowda,6,m,0
485,249,Lokesh Nair,30,m,0
486,250,Manjunath Reddy,39,m,0
487,251,Nagaraj Kumar,47,m,0
488,252,Prakash Singh,69,m,1
489,252,Deepa Singh,25,f,0
490,253,Kiran Gowda,31,m,0
491,253,Vijay Rao,57,m,0
492,253,Deepa Rao,31,f,0
493,254,Lakshmi Gowda,6,f,0
494,255,Suresh Nair,75,m,0
495,256,Mahesh Reddy,51,m,0
496,256,Farhan Kumar,49,m,0
497,257,Prakash Khan,38,m,0
498,257,Mohan Sharma,37,m,0
499,258,Nandini Naik,45,f,0
500,258,Farhan Sharma,61,m,0
501,258,Lakshmi Singh,58,f,0
502,259,Savitha Kumar,53,f,0
503,259,Usha Gowda,6,f,0
504,260,Arun Kumar,23,m,0
505,261,Prakash Kumar,21,m,0
506,262,Suresh Rao,29,m,0
507,262,Suma Gowda,27,f,0
508,262,Arun Gowda,21,m,0
509,263,Sunitha Singh,46,f,0
510,263,Chandana Reddy,49,f,0
511,264,Usha Shetty,14,f,0
512,265,Nandini Sharma,14,f,0
513,266,Nandini Singh,27,f,0
514,266,Manjunath Khan,35,m,0
515,266,Suma Rao,27,f,0
516,267,Meena Kumar,38,f,0
517,268,Arun Khan,6,m,0
518,269,Priya Kumar,15,f,0
519,270,Ganesh Rao,72,m,0
520,270,Priya Khan,38,f,1
521,270,Manjunath Nair,36,m,0
522,271,Rekha Khan,40,f,0
523,272,Sunitha Naik,41,f,0
524,272,Imran Gowda,64,m,0
525,273,Mahesh Khan,74,m,0
526,274,Meena Patil,15,f,0
527,275,Prakash Singh,11,m,0
528,275,Nandini Hegde,43,f,0
529,276,Manjunath Sharma,9,m,0
530,276,Imran Kumar,25,m,0
531,276,Rashmi Reddy,9,f,0
532,277,Ravi Reddy,60,m,0
533,277,Imran Patil,36,m,0
534,278,Kavitha Kumar,75,f,0
535,278,Santhosh Sharma,13,m,0
536,279,Santhosh Kumar,60,m,0
537,279,Meena Khan,66,f,0
538,280,Rekha Patil,63,f,0
539,280,Sunitha Nair,30,f,0
540,281,Suresh Kumar,63,m,0
541,281,Lakshmi Nayak,29,f,0
542,282,Sunitha Nair,9,f,0
543,283,Syed Naik,11,m,0
544,283,Nandini Shetty,66,f,0
545,284,Vijay Rao,45,m,0
546,284,Deepa Hegde,47,f,0
547,285,Lokesh Singh,27,m,0
548,285,Imran Hegde,67,m,0
549,285,Meena Singh,52,f,1
550,286,Farhan Naik,73,m,0
551,286,Pushpa Nayak,60,f,0
552,287,Manjunath Reddy,52,m,0
553,287,Ravi Sharma,54,m,1
554,287,Pushpa Hegde,12,f,0
555,288,Kavitha Patil,60,f,0
556,288,Santhosh Naik,46,m,0
557,289,Mahesh Naik,48,m,0
558,290,Mohan Shetty,28,m,0
559,291,Anitha Shetty,22,f,0
560,291,Nagaraj Sharma,51,m,0
561,292,Anitha Rao,58,f,0
562,292,Kiran Singh,48,m,0
563,293,Basavaraj Gowda,10,m,0
564,294,Meena Gowda,39,f,0
565,294,Arun Gowda,66,m,0
566,294,Arun Hegde,67,m,0
567,295,Rekha Gowda,10,f,0
568,295,Arjun Kumar,67,m,0
569,295,Rajesh Hegde,49,m,0
570,296,Kavitha Gowda,26,f,0
571,296,Manjunath Reddy,50,m,0
572,297,Ravi Nayak,72,m,0
573,298,Pushpa Reddy,11,f,1
574,299,Basavaraj Khan,65,m,0
575,299,Lakshmi Hegde,60,f,0
576,300,Ganesh Rao,42,m,0
577,300,Savitha Nair,54,f,0
578,300,Rajesh Shetty,28,m,0
579,301,Imran Kumar,47,m,0
580,301,Suresh Gowda,24,m,0
581,301,Sunitha Rao,7,f,0
582,302,Priya Hegde,56,f,0
583,303,Lokesh Khan,44,m,0
584,303,Farhan Patil,52,m,0
585,303,Deepa Gowda,75,f,0
586,304,Rashmi Reddy,33,f,0
587,304,Kavitha Khan,23,f,0
588,305,Anitha Rao,13,f,0
589,305,Ravi Singh,36,m,0
590,305,Anitha Sharma,19,f,0
591,306,Priya Singh,49,f,0
592,306,Savitha Patil,31,f,0
593,307,Ganesh Hegde,47,m,0
594,307,Arjun Kumar,48,m,0
595,308,Suma Reddy,67,f,0
596,308,Savitha Naik,46,f,0
597,309,Lokesh Shetty,64,m,0
598,309,Suma Khan,22,f,0
599,309,Mohan Nair,65,m,0
600,310,Mahesh Khan,61,m,0
601,311,Arun Naik,71,m,1
602,311,Mohan Kumar,74,m,0
603,312,Mohan Naik,52,m,0
604,312,Meena Shetty,47,f,0
605,312,Farhan Khan,64,m,0
606,313,Usha Naik,51,f,0
607,314,Rashmi Kumar,59,f,0
608,315,Mahesh Khan,75,m,0
609,315,Vijay Singh,39,m,0
610,316,Manjunath Singh,37,m,0
611,317,Nagaraj Sharma,32,m,0
612,317,Usha Nayak,33,f,0
613,318,Lakshmi Naik,70,f,0
614,318,Arjun Nair,55,m,0
615,319,Chandana Sharma,62,f,0
616,320,Usha Sharma,38,f,0
617,320,Vijay Rao,48,m,0
618,320,Arun Khan,8,m,0
619,321,Nandini Gowda,32,f,0
620,321,Imran Nair,14,m,0
621,322,Kavitha Shetty,23,f,0
622,322,Suma Nayak,10,f,0
623,323,Meena Nayak,19,f,0
624,324,Chandana Gowda,60,f,0
625,324,Deepa Kumar,61,f,0
626,324,Arun Patil,57,m,0
627,325,Arun Nayak,46,m,0
628,325,Rajesh Singh,26,m,0
629,325,Arjun Naik,72,m,0
630,326,Suresh Shetty,55,m,0
631,327,Mahesh Naik,7,m,0
632,328,Priya Shetty,20,f,1
633,329,Suresh Hegde,6,m,0
634,329,Kavitha Singh,19,f,0
635,329,Sunitha Reddy,15,f,0
636,330,Basavaraj Nair,67,m,0
637,330,Lokesh Sharma,19,m,0
638,330,Mohan Patil,11,m,0
639,331,Suresh Singh,8,m,0
640,331,Ganesh Singh,39,m,0
641,332,Basavaraj Rao,69,m,0
642,332,Arjun Naik,73,m,0
643,332,Nandini Kumar,38,f,0
644,333,Vijay Reddy,56,m,0
645,334,Lokesh Shetty,75,m,0
646,334,Venkatesh Patil,36,m,0
647,335,Vijay Nayak,48,m,0
648,336,Syed Nair,50,m,0
649,336,Nandini Patil,66,f,0
650,336,Venkatesh Gowda,34,m,0
651,337,Farhan Singh,45,m,0
652,337,Manjunath Naik,47,m,0
653,337,Lokesh Patil,26,m,0
654,338,Basavaraj Sharma,54,m,0
655,338,Rashmi Kumar,24,f,0
656,338,Chandana Nayak,41,f,0
657,339,Savitha Kumar,14,f,0
658,340,Mohan Kumar,10,m,0
659,341,Vijay Singh,49,m,0
660,342,Chandana Nair,5,f,0
661,342,Chandana Naik,47,f,0
662,343,Rajesh Gowda,43,m,0
663,343,Vijay Nayak,62,m,0
664,343,Ravi Kumar,21,m,0
665,344,Vijay Gowda,68,m,0
666,345,Venkatesh Kumar,52,m,0
667,345,Savitha Nayak,6,f,0
668,345,Mohan Singh,75,m,0
669,346,Kavitha Singh,55,f,0
670,346,Suma Nair,55,f,0
671,346,Meena Sharma,69,f,0
672,347,Arjun Hegde,58,m,0
673,347,Arjun Naik,11,m,0
674,347,Basavaraj Nayak,60,m,0
675,348,Imran Sharma,31,m,0
676,348,Nagaraj Nair,44,m,0
677,349,Anitha Khan,45,f,0
678,350,Rekha Rao,15,f,0
679,350,Savitha Sharma,35,f,0
680,350,Nagaraj Hegde,16,m,0
681,351,Meena Patil,11,f,0
682,351,Kavitha Naik,71,f,0
683,352,Anitha Naik,12,f,0
684,352,Rekha Nayak,33,f,0
685,353,Savitha Reddy,6,f,0
686,354,Anitha Nair,43,f,0
687,354,Lakshmi Khan,56,f,0
688,355,Mohan Khan,40,m,0
689,355,Imran Kumar,11,m,0
690,356,Suma Shetty,45,f,0
691,356,Kiran Naik,26,m,0
692,357,Santhosh Reddy,72,m,0
693,358,Lokesh Khan,37,m,0
694,358,Basavaraj Reddy,22,m,0
695,358,Rashmi Gowda,48,f,0
696,359,Arun Nair,16,m,0
697,360,Usha Gowda,55,f,1
698,361,Ravi Patil,27,m,0
699,361,Anitha Singh,36,f,0
700,362,Vijay Kumar,61,m,0
701,362,Chandana Nair,49,f,0
702,362,Ravi Kumar,6,m,0
703,363,Pushpa Rao,27,f,0
704,364,Usha Hegde,71,f,0
705,364,Pushpa Gowda,69,f,1
706,364,Sunitha Reddy,13,f,0
707,365,Prakash Kumar,51,m,0
708,365,Mohan Shetty,17,m,0
709,365,Priya Naik,66,f,0
710,366,Rekha Nayak,57,f,0
711,367,Suresh Sharma,24,m,0
712,367,Mohan Naik,36,m,0
713,368,Sunitha Kumar,38,f,0
714,368,Suresh Nair,57,m,0
715,369,Savitha Shetty,20,f,0
716,369,Kavitha Rao,25,f,0
717,369,Arun Reddy,43,m,0
718,370,Prakash Khan,20,m,0
719,370,Farhan Gowda,58,m,0
720,371,Arjun Kumar,23,m,0
721,371,Deepa Khan,21,f,0
722,372,Pushpa Kumar,11,f,0
723,373,Imran Naik,20,m,0
724,373,Ravi Rao,42,m,0
725,373,Syed Shetty,68,m,0
726,374,Anitha Hegde,20,f,0
727,374,Deepa Naik,7,f,0
728,374,Savitha Singh,57,f,0
729,375,Kavitha Sharma,65,f,0
730,376,Meena Gowda,30,f,0
731,377,Savitha Nayak,31,f,0
732,377,Pushpa Patil,26,f,0
733,377,Lakshmi Sharma,74,f,0
734,378,Kavitha Sharma,13,f,0
735,379,Basavaraj Nayak,29,m,0
736,379,Imran Nayak,65,m,0
737,380,Priya Shetty,31,f,0
738,381,Rekha Patil,25,f,0
739,381,Pushpa Sharma,74,f,0
